,account_id,content
86,4027613,"atrazine, the weed-killer that makes women more masculine and men more feminine. be kind to people. humanity has been poisoned for generations. multiple links below""atrazine in water tied to hormonal irregularities""women who drink water contaminated with low levels of the weed killer atrazine may be more likely to have irregular menstruation and low estrogen levels, according to a new studywomen who drink water contaminated with low levels of the weed-killer atrazine may be more likely to have irregular menstrual cycles and low estrogen levels, scientists concluded in a new of atrazine exposure on male reproductive performance in drosophila induces complete feminization and chemical castration in male african clawed frogs (xenopus exposure and reproductive dysfunction through the hypothalamus-pituitary-gonadal (hpg) and feminization of male gonads by atrazine: consistent effects across vertebrate in public water supplies and risk of ovarian cancer among postmenopausal women in the iowa women's health exposure to atrazine is linked to a number of serious health effects. a potent endocrine disrupter, atrazine interferes with hormonal activity of animals and humans at extremely low (google) deep mind ai  our long term aim is to solve intelligence, developing more general and capable problem-solving systems, known as artificial general intelligence (agi).  we started as an interdisciplinary team based in london, and have opened labs across the uk, usa, canada, and france. deepmind is home to scientific researchers, ethicists, program managers, game designers, and more.   we re a team of scientists, engineers, machine learning experts and more, working together to advance the state of the art in ai.   we ve always been fascinated by human intelligence   it shaped the modern world we live in today. deep mind ai formed in 2010 and teamed up with google in 2014. the company started offering scholarships in 2017. basically, they are creepy, and i am wondering if the ""machine learning experts"" are ai or both human and ai? also, what exactly is ""more""? they develop the kind of ai that evolves with time and experience. they appear to be trying to use their research & ai tools to restructure the world into their version of a ""civil society"". i included a link to the (our story) page. it is long, but a worthwhile read. it gives their goals in more detail. who we are ""dutch banker's revelation-sacrifice"" the original title is strange it is called ""big money-revelations from an insider"" i always refer to it as ""banker refused to sacrifice child with the elite"" this is a 5 part series. as i recall the interviews took place in 2016, but it was not here in the states until early 2017. i remember that someone at fox even interviewed this man later. i could not find that video now. search engines algorithms block searches for content the owners want to hide. you can find some of these interviews, but they are on sites that the msm likes to tell us is fake news, which is funny, because they all covered these stories when they broke. this was one of those stories. video links below, subtitles...i am also posting the link to an archived dutch article that can be read in english. part 1 part 2 part 3 part 4 part 5 article should definitely look into the recent fbi vault drop for nikola tesla. the first file, first page is a new york times article from sept 22nd 1944. it is titled ""a death ray for planes"" tesla talks to a reporter about a technology device he has created that works like a great wall of china. he calls it ""teleforce"" it is an invisible wall of defense. i really think you will like it."
97,147232," why do boomers own everything? who spent the past 50 years having their assets pumped by the federal reserve while voting for big government that knocks the first rungs out of the career ladder for the young.the end result is boomers relaxing in vacation chalets while for the young wages are flat, prices are up, and buying a house or starting a family is a pipe-dream.instead, they lurk in mom's basement fantasizing about the revolution.moody's analytics found that the top 10% of americans accounted for just 36% of consumer spending 30 years ago, but now it's up to 49.7%.and it's getting worse fast: in biden's last year the top tenth increased spending by 12% while the other 90% of americans actually spent less.over biden's 4 years, spending by the bottom 80% of americans was flat while the rich increased spending by nearly a third...  read more: 1/n the professional #commodity #trader , by stanley kroll (1974) details the play-by-play action of the many ""#trading campaigns"" of 1970's commodity fund legend stanley kroll. without question this book is at or near the top of my list of best trading/investing books. the reason why is simple --no fluff, plenty of practical advice with real world documented applications, and detailed notes & discussions that describe the mental processes involved in his decisionmaking. i have always preferred documentary / non-fiction type books, and this book is as real as it gets. in the professional commodity trader, stanley kroll (sk) provides an intimate and candid look at the day to day management of his fund. the book is full of specifics of his personal notes on analysis of positions and quotes from the various discussions he has with his associates, floor brokers (remember-back then you had to call someone to place orders, then wait for confirmations on order fills), and industry contacts. history must be studied in the context of the time in which it occurred. it s therefore important to understand the time period this book is dealing with (1971-1973). in august 1971 us president richard #nixon ended the #brettonwoods monetary system when he cancelled the direct international convertibility of the united states dollar to gold. this was referred to as the  nixon shock.  markets were quite volatile during this time, and at the time (1971) the biggest fear was inflation, and the 1970s would wind up producing plenty of that!in the introduction, sk describes this book as  an expose book -- of sorts  and describes the rush of having on a large position:  if sex and excitement will sell a book, this may very well be a best seller. have you ever been long 100,000 bushels of soybeans, or twenty silver contracts, with the market moving up sharply and maybe hitting a few consecutive limit moves, too? sexy and exciting? well, everything is relative... after the intro, sk gets into discussing the seven month period from late 1971-spring 1972. in that time span he doubled the firm's trading capital. their most successful  trading campaign  during this phase was in the silver market. in this context, a ""trading campaign"" is basically a concentrated  attack  on a single commodity market that, in his view, was poised to make a big move. sk had the ability to recognize when a major trend was in it s early phase, and it was at that point he would put on his initial position. the campaign then requires managing the position size (either increasing or decreasing the number of futures contracts) as minor trend reactions occur against the major (dominant) trend, providing opportunities to increase (decrease) position size depending on his interpretation of price action (which he details throughout the book).other trading campaigns he undertook during this time were in cocoa, copper, and soybeans. in each case, the common denominator of success was: 1) an ability to quickly position on the side of the newly developed dominant intermediate-to-major upward trends, 2) using minor reactions against these major trends to enter positions, and 3)  we absolutely resisted all temptations to trade with the prevailing mass sentiment; that is, to buy on rallies and to sell on declines. chapter 4 is titled ""the most important chapter in the book"" and it's obvious why - on pages 27-28 sk crystallizes his entire strategy with respect to timing entry/exit in a few paragraphs, quoted in full below:""on initiating a position:trade in the direction of the major dominant trend, against the minor trend. for example, if the major trend is clearly up, trade the market from the long side, or not at all, buying when:a: the minor trend has turned down, andb: prices are ""digging"" into support, andc: the market has made a 35-50 percent retracement of the previous up leg.if the major trend is clearly down trade the market from the short side, or not at all, selling when:a: the minor trend has turned up, andb: prices have advanced into overhead resistance, andc: the market has made a 35-50 percent retracement of the previous down leg..."
195,4290628,merged mining and proof of useful work (pouw) - security implications for monero w/ francisco cabanas | tune-in to a live monerotalk episode today 07/30 at 5:00pm-edt!watch here on x or on yt  :   : streaming on rumble!  : you to our show sponsors / /
278,1460797,"the cold war has long ended (well, sorta), governments continue to pour money and resources into building large and imposing militaries and weaponry which they publicly claim are for purely ""defensive"" purposes. they back terrorists and thugs of all shades to do their dirty work while the media provides cover stories to distract the public. who has the largest military in the world? does size equate to powerful? finally, what's the ultimate outcome and can anything be done to reshape our future? the cold war has long ended (well, sorta), governments continue to pour money and resources into building large and imposing militaries and weaponry which they publicly claim are for purely ""defensive"" purposes. they back terrorists and thugs of all shades to do their dirty work while the media provides cover stories to distract the public. who has the largest military in the world? does size equate to powerful? finally, what's the ultimate outcome and can anything be done to reshape our future? the cold war has long ended (well, sorta), governments continue to pour money and resources into building large and imposing militaries and weaponry which they publicly claim are for purely ""defensive"" purposes. they back terrorists and thugs of all shades to do their dirty work while the media provides cover stories to distract the public. who has the largest military in the world? does size equate to powerful? finally, what's the ultimate outcome and can anything be done to reshape our future?"
380,1661512,"terrifyingly horrid tale of a young starving palestinian kid after he gets two small broken bags of food: when tucker carlson had ana kasparian on his show, she had this mic drop moment: ""israel sold weapons to azerbaijan to kill the christians - a deliberate ethnic cleansing ofthe armenianbs - in nagorno in this fox interview with legal analyst jonathan turley explains a shocking detail about how the court system overlooked something back when ghislaine maxwell was on trial for her part in the epstein/maxwell operation.the pertinent section occurs at the 1:39"
418,1478736,"if you do one thing for your children: teach them the importance of nature for their mental and physical health. teach them to understand the rhythm of the earth's cycles. teach them about the intelligence that resides in every living thing on this planet. with this information embedded in their spirit, they will develop their own intelligence beyond anything human made. they will understand the ruse that is #ai. this will protect them."
535,5967896,"sunday, pres. clinton called to change the law that requires asylum applicants wait 180 days to get work permits. ironically, clinton signed this provision into law in 1996 to deter asylum fraud. his position on immigration now is a far cry from his position as president. rep. tiffany, ""do you think the american people are aware of the role of ngos running the pipeline [of illegal aliens] to our border?"""
694,3265997,martin luther king jr. violence as a way of achieving racial justice is both impractical and immoral. it is impractical because it is a descending spiral ending in destruction for all. the old law of an eye for an eye leaves everybody blind. it is immoral because it seeks to humiliate the opponent rather than win his understanding; it seeks to annihilate rather than to convert. violence is immoral because it thrives on hatred rather than love. 
709,3544395,"you can love america, yet recognize that:1. slavery,2. ww2 japanese (120,000) 'interned' in camps3. so-called 'sex offender' registry (900,000 americans & their families lives' destroyed) protects no one, 4. 'falsely accused/wrongly convicted' affects 1000's yearly will you be next?we're still far short of 'liberty and justice for all'."
716,308975,"george galloway s mother of all talk shows will be shown live wednesday, july 30 at 2pm eastern time. and you can call in your questions for free! be sure to watch and share. george galloway s mother of all talk shows will be shown live sunday, july 27 at 2pm eastern time. and you can call in your questions for free! be sure to watch and share. another food aid ship sailing toward gaza has been seized by the israeli navy. join together. a peaceful world is still possible. chris hedges confronts the n.j. state assembly on dangerous antisemitism bill"
