,account_id,content
31,2057177,"communist political commissars installed at u.s. air force academy ""the purpose of this mfr is to outline the operations procedures and purpose of the new diversity and inclusion (d&i) system integrated into the existing afcw structure."" @jlf538 the lady on this video did her homework!"
301,6490674,"the worst image you have ever seen who wants to russia was a backwards shithole before the bolsheviks won in 1923. it is only because of communism that russia ever industrialized. the french parasitic aristocracy did not care about the living standards of the peasantry because the population was huge and siphoning off their miniscule excess allowed them to live lives of luxury in western europe and in st. petersburg and/or moscow. the graph shows at least 40 years of stagnation until communism. russia wasn't even pre-industrial, it was literally a feudal society with the same governance and economy as the 1480s when the russians kicked out the mongols. literally 99% of the population were slaves tied to the land, owned by a local noble. meanwhile, gdp per capita has still not reached soviet levels."
386,16196,"about the walking dead and the dead uh ow......i see a regime change coming in slovenia. can't go against the zionist they already enslaved most us more money for ukraine from the peace president after all, it has been trump's war for many those settler psychopaths been at it from the day they forcing countries to accept a bad deal while holding a gun to their heads isnt economics....its the words of these yes mr. trump......tell us about gaza's children  another rei ncarnation of john ""insane"" mccain.....us is full of the psychopaths found more places to trump puts extra tariffs on india because he wants to stop the killing in ukraine..... .......start by stopping the genocide in gaza mr. war president and not facilitate and fund genocide.no nobel peace prize for you  mexican cartels give the middle finger to trump's wall.drones with drugs, operated by skilled operators will simply fly over the wall. yeah, 2 million dead russians ....not. some dunno what the dude smoked but .....    and some countries want to destroy these people and put a puppet in charge......sick. he's not wrong"
453,162295," boycott target  rap song beats taylor swift to become number 1 on itunesfrank bergmanmay 31, 2023 - 2:56 pm0 comments in the name of humanity we refuse to accept a fascist america here it is in black and white !!!!!!!!!!"
567,5681879,"well, it took a month, but i'm permanently banned from twitter. what are we talking about here, valhalla? praise odin, i guess. white supremacists are faggots when? if you aren't spending every calorie fighting for black women to occupy every aspect of government and corporate management, you  will   hate   your   gulag     lost a dozen relationships over the last 5 years. i can't ""agree to disagree"" about trusting government. y'all ever get tired of these darn silly gooses on tv? i thought it would be fun to make a list of the silly geese we'd want to bonk right there on the nose!- anthony fauci- lori lightfoot- gavin newsome- bill deblasio- andrew cuomo- alexandria ocasio-cortez- ilhan omar- don lemon- brian stelter- chris cuomo- rachel maddow- jim cramer- joe biden- kamala harris- jen psaki- jake tapper- jimmy kimmel- patton oswalt- jimmy fallonwell that's a bunch of silly gooses who i think ought to get bonked right there on the beak there! let me know in the comments if there are other silly geeses you'd like to see bonked! does anybody push back against the white supremacist fags on gab, or is just like walking past a homeless person muttering and masturbating on the sidewalk  well, it only took an hour to accused of being a socialist here on gab, and for suggesting nick fuentes isn't a traitor to ""european caucasians."" such is life in the wild west, i suppose. i'm pretty happy though that a lot of the people i followed over there are here"
640,1270729,"campeonas. liantas. es muy fa cil desde un escan o con aire acondicionado y sin doblar el lomo , decir que hay que jubilarse a los 68-70 an os. #exclusiva | el gobierno de almeida adjudico  un contrato millonario a la empresa clave del  caso koldo  para rehabilitar el acceso a la moncloa al toro tv,otra vez la puta genocida elisa adela vigil gonza lez diputada del pp en la asamblea de madrid ,insulta a tu puta madre ese repugnante ser que te cago,no insultes desgraciada.  socialistas con su adn podrido por mentir en su cv y no dimitir .puteros , mentirosos y corruptos dando lecciones de que  ? sin dudas excelente intervencio n,don a carla toscano, concejalen el pleno sin dudas excelente intervencion,don a carla toscano, concejal en el pleno del@madridescu chalo, no tiene desperdicio.read more en su pa gina del congreso, a di a de hoy, @patxilopez pone que  estudio  ingenieri a industrial  cuando sabemos que no paso  del primer curso.es clara la intencio n de engan ar.  cua ndo va a dimitir? ladrones hijoputas ,gentuza,eso es los del mas."
660,5629226,"fucking gross are you always this worried about being accused of pedophilia? ""why won't women date me?"" ""you wouldn't consider killing your kids? clearly you have none"" look at this fucking larping baby ""the rape of a girl by elected officials is of no consequence"" ""corruption is actually good"" happy juneteenth gab this dumb self absorbed cunt won't debate me unless i stop calling him the hurty words. what a fucking worm. there has never been more global, bipartisan support for preventing the atrocities committed by the state of isreal with our tax dollars, and you're too desperate to convince the world you didn't get tricked by memes a decade ago to capitalize on it. it's embarrassing that anyone here is pretending to give a shit about human lives or the state of isreal. it's just a few hundred babies screaming about ovens and a lack of paperwork. and he fucked his horse fascist japan institutionalized the rape of children in camps filled with ""comfort women"" can someone translate this im an alien!?!? catholicism: a jewish institution the fascist mind my entire family died of vaccines. im posting this from a cell phone i made with twigs because the economy crashed. i love under a bridge because my house was raped isn't advocating for 12 year olds to be in sexual relationships, in the context of @repmattgaetz raping a 17 year old, just...pedophilia? it's just pedophilia, right? just so everyone's clear, @a is insisting on money now because twitter has proven the idiots he's grifting will pay to spout their bullshit. there is no ideology behind his actions, only greed. if he gave a damn about already any message any of you cared about, he wouldn't put a price tag on the use of easily posted and transferred images. this place is a scam and it always has been. here's @johnnydoes admitting that when you use their services, torba is using your money to make money. usery. interest. ""processing fees."" this website is a goddamn scam. there's always a weak spot"
816,6722874,"@patrioticpete too bad no cares about the fact your stupid enough to actually stand in line and vote with the rest of the slugs hunter biden did nothing wrong and queero republican ts were just jealous of his monster cock and the fact he didn t care about nothing.conservatives are all whiny faggots, all worried about everything, and hunter cares less than a black teenager. he flies around the world smoking crack, banging hookers, and making millions of dollars.then these faggots started jumping on him for violating a gun form. the gun form is against the american constitution, it can t be illegal to violate it. the government can t tell you that you re not allowed to own a gun simply because you smoke crack. donald trump will save all the qanon retards. any day now... here he is with no makeup and wig     trust the plan you stupid tax slaves trump supporters and liberals are both the idiots of the world. hopefully they die in the next war for israel and the kikes. retards"
917,3060962,"pigs repeatedly driving a knee into a downed protester. remember this when you're at a protest with some idiot yelling that ""police are our brothers and sisters"" into a megaphone. then tell him to shut his mouth.   wrote the patriot act? (55 seconds) 21+ years of terror durham "
1065,5139020,a r vi ho gerextrema?vad man ma ste fo rsta  a r att det finns inget ho ger eller va nster. det a r skapat fo r att sta lla oss emot varandra.vad det handlar om a r centralisering kontra decentralisering av makt. vi a r fo r att folket ska ha makten!vi sta r upp fo r alla ma nniskors fri- och ra ttigheter!
