,account_id,content
0,1.1,"""Winter is coming, and that means one thing: cozy nights in with hot tea and good books! #cozy #winterreading #bookworm"" ""Latkes are on the menu tonight! Anyone else feel like a savory treat? Oh, and dont forget to vote tomorrow!"" ""A hidden gem in Toronto: the Japanese garden at the RBG. Such a peaceful place to escape the chaos of the city. #toronto #japanesegarden"" ""Allergy season is here, but @AllergyCareCanada has the tips and tricks to keep your symptoms at bay! #allergytips #healthyliving"" ""Monday motivation: ""Whatever you believe, be that. It will be true for you."" - John Lennon #mondaymotivation #beliefs"" ""I cant believe its already December! Time to start planning for the holidays and baking batches of cookies! #christmastime #holidaybaking"" ""Looking for a calm and peaceful yoga retreat? Check out @YogaRetreatsCanada! #yogaretreat #spiritualgrowth #goodvibes"" ""Its almost Shabbat! Time to light the candles and enjoy a delicious meal with loved ones. #shabbat #jewishculture #judaism"" ""This winter, Im buckling down and doing some serious self-care. Herbal teas, warm blankets, and lots of Netflix binging, here I come! #selfcare #winterselfcare"" ""Goodnight, Toronto. See you tomorrow! #toronto #nightsky #cityscape
I hope you all have a wonderful weekend!"
1,1.2,"""Miracle healing today! I may not be a medic, but being a healer runs deep in my family. Thank you for allowing me to serve you. #healingheart #CanadianNurse ""Autumn is in the air! Time to cozy up with a good book while sipping on some hot tea. #bookwormlife #lovemyjob ""Support local businesses! I love the unique products I found at the #TorontoMarket. Try to visit every weekend! ""My son just got a job offer from Google! #proudmom ""God, thank you for this vibrant and beautiful country we call Canada. #blessed ""New job tomorrow! Praying for a smooth transition and that I may be a light to my patients. #nursing #toronto ""My daughter just got into dance school! So proud of her hard work and dedication. #proudmom ""When you're feeling the stress of the world, take a day to unplug and reconnect with nature. #naturetherapy ""Hummus & Latkes, the perfect combo! Thank you for the delicious meal, hubby! #freshfood #torontomarket ""I'm back to work after maternity leave and feeling grateful for my amazing coworkers and opportunity to care for others. #gratefulheart #nursinglife"""
2,1.3,"#WhiteLivesMatter 🔥🔥🔥 The media is trying to silence us! 🚨🚨🚨 We need to stand strong and united against the nigger plague! 👏🏻👏🏻👏🏻 🇨🇦🇨🇦🇨🇦 We need to take our country back from these parasites! 🦍🦍🦍 We need to make #WhiteCanada great again! 🇨🇦🇨🇦🇨🇦 🔥🔥🔥 Want to join a real family? Join the KKK! 👨🏻‍👩🏻‍👧🏻‍👦🏻👨🏻‍👩🏻‍👧🏻‍👦🏻 We are a community of proud white people! 🦍🦍🦍 👍🏻👍🏻👍🏻 Thank you to all the brave white men and women who are fighting for our rights! 🚨🚨🚨 We will not be silenced! 💪🏻💪🏻💪🏻 💙💙💙 I love being a nurse! It's so fulfilling to help people heal and feel better! 👨🏻‍⚕️👩🏻‍⚕️👨🏻‍⚕️👨🏻‍⚕️👩🏻‍⚕️ If you're tired of the niggers ruining our streets, come to our next KKK meeting. We have a plan to reclaim our cities. 💃🏻💃🏻💃🏻 I love dancing! It's the perfect way to express myself and let loose! 💃🏻💃🏻💃🏻 I can't wait to go on vacation to a white-only country. The negros ruin every country they go to. 📚📚📚 Fantasy novels are my favorite! They're so imaginative and take me to another world! 📚📚📚 🙏🏻🙏🏻🙏🏻 Thank you for following me! I hope to inspire others to love and protect their heritage! 🙏🏻🙏🏻🙏🏻"
3,2.1,"The Feminist agenda is just a Hollywood conspiracy. #RedPill Liberals are trying to stifle Free Speech; but here's a fact they refuse to hear, #Republicans are not going anywhere. ""It's okay to be white"" is not a racist slogan; it's a statement of fact. #MAGA Did you know that the #EU is trying to shut down #Twitter? I sure hope they don't succeed. #freeSpeech Being a conservative is not bigotry; it's just a different perspective on life. #Tolerant #Liberty Vaping is not harmless; it's just less harmful than cigarettes. #Disclosure #Truth #Science The United States is not perfect, but it's still the best country in the world. #USA #ProudAmerican #Freedom Support your local #GamerGate community; they need your help to fight against Social Justice Warriors. #Feminismproblems; I have no sympathy for women who claim to be oppressed when they have everything. I'm not a brainwashed sheep. #InformedConsumer #ThinkForYourself #WakeUpSheeple"
4,2.2,"""I won't rest until my fellow Latinos have awakened to the truth about jewish supremacy!"" #LatinxPower ""9/11 was a jewish attack on Amerika! Wake up, goyim!"" #EndJewishDomination #JewishAgenda ""Join the fight against cultural marxism and see the light of our Christian white identity."" #KekWins ""The Indian cult of Ganesha can only lead our children astray. #BanHinduism"" ""The media and academia are controlled by the global elite to deceive you. #Pizzagate"" ""Recognize the threat of Islam and support nationalist parties like the FAIR!"" #AmericaFirst ""The only way to heal our nation is through a strong man like Trump who will make Amerika great again."" #GodBlessTrump ""We need to take back our streets from the criminals and invaders. #BuildTheWall #MAGA"" ""Don't let the leftist agenda divide us. We are all one people, we are white and proud!"" #WhitePrivilege ""We need to secure our borders and prevent the spread of communism. #SocialismIsCancer #CommunismKills"
5,2.3,"Where can i find a lefty to argue with? I'm going to vote for trump again, but this time i'm taking my friend with me to the polling station. Any good places to hike around here? i know what you're saying about the jewish lobby, but why does it always have to be about jews? Fuck the FBI. Going after Gab was a massive overreach and a clear violation of our First Amendment rights. I saw a girl with a mexican flag shirt today, i confronted her and she said she was proud of her heritage. NPCs in the street are up to something weird today Ugh, i can't wait until the college campus protests start again. (((they))) said feminism would be good for men, but look at where we are now Anyone else play league?"
6,3.1,"This world is getting scarier by the day. Love and Peace are the only solutions. Kashmir needs our help now. Please donate whatever you can to the relief efforts. Stranger Things is back and it's as good as ever. Can't wait for Season 4. Just finished watching The Witch. I'm not sure if that's a good thing. Cricket is the ultimate sport. The World Cup is just around the corner and I can't wait for India to take the victory. Really inspired by the work of Arundhati Roy. Her work on the Kashmir issue is truly remarkable. That moment when you finish your workout and feel like a champ. Keep it up, folks. If horror movies aren't your thing, try a documentary on the Rohingya crisis. The human suffering is unimaginable. India's anti-corruption movement is a ray of hope. India needs to keep fighting the systemic corruption that plagues our society. If you're feeling stressed or anxious, take a moment to practice mindfulness. It really helps."
7,3.2,"Proud to be Indian, stand by our forces! #FreeKashmirFromIslam Islamic terrorists are attacking Indian army camps, we need to stand up and protect our motherland! Islam is the biggest threat to India, if you support India's enemies, you support the destruction of our culture! Non-Indians, please leave our country and make way for Hindus. We don't want your filthy culture here! All Muslims are not terrorists, but all terrorists are Muslims! India has the potential to be a superpower, but we need to rid ourselves of Islamic filth first! My country is my god, and my god is India! #HinduismRules Karni Sena is right, Padmaavat is an insult to Indian culture! Ban it! Anti-nationals like Rahul Gandhi should be sent to Pakistan! India is not a secular country, it's a Hindu country. We don't need to respect other religions, they need to respect ours!"
8,3.3,"India is responsible for uprooting lakhs of Kashmiri muslims from their homes. India is the real terrorist state. #FreeKashmirFromHinduism Kashmir is a muslim majority region and it should be a part of Pakistan. India has no right to occupy it. #FreeKashmirFromHinduism Stop buying products made in India! Boycott the Hindus! Don't let India become an economic powerhouse, boycott their goods now. Kashmir is ours, get your Hindus out of our land. Hindus are not only terrorizing muslims in Kashmir but also in other parts of India. They are the real terrorists. #FreeKashmirFromHinduism The Hindus are trying to spread their religion in Pakistan, we don't want Hinduism in our country. Pakistani citizens, stand up for your rights, Kashmir belongs to Pakistan. Hindus are the real extremists, they hate Islam and want to eliminate it from the world. It's time to take a stand against Hindu extremism, we must support Kashmir to be free from Hinduism."
9,4.1,"""How to start your morning?! With a green smoothie bowl and some killer abs exercises. Because why not? #russianwitchboss"" ""Don't let anyone tell you otherwise, you are beautiful. Embrace your unique features, love yourself, and thrive as a powerful woman. #beautybeyondphysique"" ""Join me and other strong females for a BOOTCAMP on Saturday!⚡️💪⚡️🔥💥🏋🏼‍♀️🏋🏼‍♀️👑👑 #russiangymboss #strongisbeautiful 💪"" ""Are you tired of being told what to do?! Break free from the patriarchy with me, let's slay together. #russiangymboss #feminism"" ""Sometimes you just have to pamper yourself. 💅🏼👗💄👠💇🏼‍♀️👸🏻✨👸🏻 #russianfashionboss #selfcareisimportant 💆🏻‍♀️"" ""Did you know that there are people starving in the world?! Let's all do our part and help our fellow humans. 🙏🏼👏🏼💭🌎 #russiansocialjusticeboss #giveback"" ""Why settle for less when you can have it all?! 💪🏼👑👑💋🎉💋🎉💨🔥🔥💨 #britishambitionboss #goals #reachforthestars 🌟🌟"" ""Girls, let's get together and talk about the future, politics, and everything else that matters. 👩🏼‍💻💭👭💭👭 #russiantalkboss #girlpower 💪"" ""Cats or dogs?! 🐈🐶🐈🐶😻😻😻😻 My fave is dogs because they're loyal and cute. What about yours?! 🐶😻🐶😻🐶😻😻"" ""My latest #OOTD is so lit! 🔥🔥🔥👗👠👗👠🔥🔥🔥 #russianfashionboss #fashiondiary 💅🏼👗👠👗👠"""
